hotel_names,rating,coordinates,description,links,town
Le Mouton Blanc,7.3,"-1.50989592075348,48.6360229844471","Situé au pied de l'abbaye, le Mouton Blanc Hotel vous accueille dans son bâtiment historique datant du XIVe siècle. Il propose des chambres confortables avec une décoration simple et accueillante. ",www.booking.com/hotel/fr/le-mouton-blanc-le-mont-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=8&hpos=8&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Le Saint Aubert,7.4,"-1.51010513305664,48.6129378347065","Niché dans un écrin de verdure, à seulement 2 km du Mont-Saint-Michel, Le Saint Aubert vous accueille dans un cadre chaleureux et convivial. ",www.booking.com/hotel/fr/hotel-saint-aubert.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=9&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
La Vieille Auberge,7.4,"-1.511457,48.636063","La Vieille Auberge vous accueille dans le village médiéval du Mont-Saint-Michel, à quelques pas de la célèbre abbaye du Mont-Saint-Michel. ",www.booking.com/hotel/fr/la-vieille-auberge-le-mont-saint-michel.fr.html?label=gen173nr-1FCAQoggJCGHNlYXJjaF9tb250LXNhaW50LW1pY2hlbEgNWARoqQGIAQGYAQ24ARjIAQXYAQHoAQH4AQOIAgGoAgS4ApugnYoGwAIB0gIkMzU3NWNmMmEtOGVjZi00NTg0LWI0ZDItZmZhYTNkNzljNWI42AIF4AIB&sid=0a90c9c38b89adff2bf6595ee3c2ab1a&dest_id=900039327&dest_type=city&group_adults=2&group_children=0&hapos=10&hpos=10&no_rooms=1&sr_order=popularity&srepoch=1632063515&srpvid=2c45694d98130049&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,Mont-Saint-Michel
Escale Oceania Saint Malo,8.3,"-2.00883775949478,48.6542800916228","L'Escale Oceania Saint Malo se trouve sur le front de mer, en face de la plage du Sillon, à 14 minutes de marche de la gare de Saint-Malo. ",www.booking.com/hotel/fr/mascottesaintmalo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=1&hpos=1&no_rooms=1&sr_order=popularity&srepoch=1632063516&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hotel d'Aleth,8.0,"-2.02171236276627,48.6359308137732","Situé en face du port des Bas Sablons, l'Hotel d'Aleth se trouve à seulement 1,9 km de la vieille ville de Saint-Malo. ",www.booking.com/hotel/fr/d-aleth.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=2&hpos=2&no_rooms=1&sr_order=popularity&srepoch=1632063517&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hôtel de la Gare,8.3,"-2.009096,48.646646","Situé à moins de 2,2 km de la plage de Rochebonne et à 2 km du fort du Petit-Bé, l'Hôtel de la Gare propose des chambres à Saint-Malo. ",www.booking.com/hotel/fr/de-la-gare-saint-malo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=3&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1632063517&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hotel de l'Europe,7.5,"-2.00852662324905,48.6478513381886","L'Hotel de l'Europe propose des chambres non-fumeurs fonctionnelles dotées d'une télévision, d'un téléphone et d'une connexion Wi-Fi gratuite à seulement 10 minutes de marche de la principale plage de...",www.booking.com/hotel/fr/de-l-europe-saint-malo.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=4&hpos=4&no_rooms=1&sr_order=popularity&srepoch=1632063517&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Le Britannic,8.1,"-2.00719356536865,48.6467882910655","Situé à Saint-Malo, à moins de 2,1 km de la plage de Rochebonne et à 1,4 km du Palais Le Britannic propose des hébergements dotés d'une connexion Wi-Fi gratuite. ",www.booking.com/hotel/fr/le-britannic.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=5&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1632063517&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hôtel La Porte Saint Pierre,8.6,"-2.02838569879532,48.6478531102842","L'hôtel La Porte Saint Pierre est situé à l'intérieur des remparts historiques de la vieille ville de Saint-Malo, à seulement 10 mètres de la plage. ",www.booking.com/hotel/fr/sarl-porte-saint-pierre.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=6&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1632063517&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
Hotel De L'univers,8.1,"-2.02372670173645,48.6510410095977","L'Hotel De L'univers est installé dans la ville fortifiée de Saint-Malo, en Bretagne, à quelques pas du port ferry et de la gare. ",www.booking.com/hotel/fr/de-l-univers.fr.html?label=gen173nr-1FCAQoggJCDnNlYXJjaF9zdC1tYWxvSA1YBGipAYgBAZgBDbgBGMgBBdgBAegBAfgBA4gCAagCBLgCnKCdigbAAgHSAiRiNTI4MWEzMS03MmFmLTQ0YTMtYWZhMC01OGU1Yjk4ODMwYmTYAgXgAgE&sid=042e171a037c620189f63287cc743cfe&dest_id=-1466824&dest_type=city&from_beach_non_key_ufi_sr=1&group_adults=2&group_children=0&hapos=7&hpos=7&no_rooms=1&sr_order=popularity&srepoch=1632063517&srpvid=bb28694e31e80220&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,St-Malo
