,0
yellow_flower,162
dose,162
anchor,162
effect,162
sear,162
4–5,162
drunk,162
explod,161
sound,161
stuff,161
counti,161
lean_toward,161
sit,161
blend_80,161
waft_glass,160
generos,160
size,160
appropri,160
actual,160
cherryberri,160
pine_needl,160
chop_mint,160
darkskin_berri,160
time_cellar,159
hefti,159
energet,159
lie,159
citrus_rind,159
drink_now–2025,159
grenach_blanc,159
dark_brood,159
80,158
overdon,158
local,158
new_world,158
villag,158
fit,158
squeez,158
muscat,157
ager,157
crack_pepper,157
pour,157
5–6,157
counter,157
drink_now–2018,157
meal,156
sometim,156
2022,156
sawdust,156
elabor,156
even_better,156
spring,156
unoak,155
tonic,155
morello_cherri,155
lineup,155
grüner,155
wealth,154
volum,154
chicken,154
word,154
shellfish,154
resembl,154
moder_long,154
stick,154
alicant_bouschet,154
right_amount,154
neutral_oak,154
drier,154
pulpi,153
spritz,153
pinot_blanc,153
bartlett_pear,153
pasta,153
companion,152
wild_flower,152
fish,152
best_buy,152
tarragon,152
jumpi,151
paso_robl,151
sipper,151
exquisit,151
lemon_rind,150
honeycomb,150
spri,150
turn_earth,150
teas,150
hollow,150
toast_hazelnut,150
expand,150
butter_popcorn,150
coffe_ground,150
strang,149
cheer,149
grate,149
pink_color,149
iri,149
possess,149
coupl_year,149
hickori,148
fieri,148
clove_cinnamon,148
flush,148
popcorn,148
14,148
granit,148
raisin_prune,148
chabli,147
seri,147
sweeter,147
without_much,147
brown_spice,147
case_produc,147
hedonist,147
spearmint,146
chile,146
saffron,146
small_amount,146
delicaci,146
fudg,146
burgundi,146
till_earth,146
veer_toward,146
would_make,146
sangioves_10,146
carnero,146
granni,146
lamb,146
front_center,145
lift_glass,145
itali,145
redplum,145
brighten_crisp,145
mineraldriven,145
coffe_bean,144
loam,144
distract,144
evok,144
ripen,144
vibranc,144
port,144
cinsault,144
drink_now–2015,144
cigar,143
2025,143
wood_smoke,143
10_year,143
intric,143
sanguin,143
abras,143
dri_creek,143
distinguish,143
masculin,143
super,143
bur,142
four,142
iodin,142
dynam,142
mapl,142
incens,142
stew_plum,142
2–3_year,142
lime_juic,142
marshmallow,141
impact,141
muscl,141
flash,141
lose,141
closegrain_tannin,140
come_around,140
vivaci,140
broaden,140
north,140
spray,140
chang,140
normal,140
uncompl,140
develop_next,140
confirm,140
vinho_verd,140
pucker,139
vineyard_site,139
heavili,139
impecc_balanc,139
liqueur,139
marsann,139
work_well,139
spanish_broom,139
plastic,139
murki,139
underpin,139
give_extra,139
eas,138
gold_color,138
disappoint,138
owner,138
celeri,138
temper,138
underst,138
chenin_blanc,137
demand,137
aris,137
chop,137
wellstructur,137
pizza,137
onto,137
number,137
cover,137
spectrum,137
adequ,137
famous,137
curious,137
oakdriven_spice,136
brown,136
prior,136
subt,136
tannic_grip,136
bing_cherri,136
oldvin,136
mediumsweet,136
drink_now–2016,136
custard,136
vermentino,135
muski,135
signatur,135
70,135
alongsid_brace,135
fabul,135
wildflow,135
farm,134
cours,134
lightfoot,134
left,134
southern,134
tire,134
spritzi,134
bittersweet_chocol,134
oakdriven,133
world,133
woodsi,133
grand_cru,133
tingl,133
charcoal,133
score,133
fore,133
pineappl_orang,133
rind,132
framework,132
organ,132
kabinett,132
beef_jerki,132
wellpric,132
worth,132
lover,132
monastrel,132
cherri_liqueur,132
fill_mouth,132
steeli_miner,131
indian_spice,131
pineappl_mango,131
grapey,131
joy,131
harvest,131
bubblegum,131
bordeaux_varieti,130
project,130
excess,130
corn,130
fold,130
field_blend,130
countri,129
immedi_attract,129
know,129
fresher,129
campfir,129
persimmon,129
soupi,129
vine_plant,129
tree,129
american_oak,129
graini,129
cooler,129
sweati,129
sweeten,128
tire_rubber,128
cocoa_powder,128
bread,128
likeabl,128
likabl,128
tempt,128
handl,128
bounci,128
quaffer,127
oakbas,127
golden_color,127
fashion,127
yes,127
13,127
lighter_style,127
firm_refin,127
truli,127
resolv,127
shave,127
substanc,127
earthier,127
hue,126
year_two,126
green_tea,126
rhône,126
take_lead,126
alreadi_delici,126
alongsid_velveti,126
unwind,126
flood,126
sulfur,126
zing,126
resini_oak,126
straight,126
ash,125
tangerin_zest,125
drink_2014,125
marasca,125
spirit,125
citrus_pith,124
mélang,124
green_bean,124
whisper,124
struggl,124
pinot_nero,124
damp,124
worth_age,124
syrah_grenach,124
walla_walla,124
tree_bark,124
flood_mouth,124
flow,123
acacia,123
press_violet,123
even_though,123
higher,123
bake_bread,123
market,123
fierc,123
slight_sour,123
ahead,123
confect,123
walnut,123
pale_color,123
alongsid_assert,122
three_year,122
loud,122
good_thing,122
parti,122
verdejo,122
greenappl,122
vanilla_coconut,122
pork,122
sport,122
yellow_stone,121
reson,121
share,121
vintner,121
expert,121
four_year,121
wet_earth,121
medium_fullbodi,121
central_coast,121
moscato,121
sign,121
beefi,121
take_time,121
golden_appl,120
easi_enjoy,120
around_edg,120
root,120
signific,120
18,120
sugari_sweet,120
water,120
18_month,120
fanci,120
deeper,120
win,120
favor,119
foundat,119
entic_scent,119
clariti,119
kept,119
attent,119
relat_light,119
100_new,119
feral,119
everi,119
check,118
histor,118
umami,118
cranberri_pomegran,118
overlay,118
mesh,118
alpin_herb,118
road,118
alongsid_finegrain,118
eye,118
soda,118
olallieberri,117
blackskin_berri,117
inexpens,117
spring_flower,117
aliv,117
beaujolai,117
great_valu,117
16,117
dainti,117
floweri,117
raspberri_compot,117
weav,117
peach_nectarin,116
burger,116
semisweet,116
held,116
promis_age,116
ferment_age,116
acr,116
pinot_bianco,115
pineappl_jam,115
enrich,115
crème_de,115
exact,115
best_2020,115
pioneer,115
peach_pit,115
mossi,115
studi,115
standout,115
abrupt,115
velvet,115
pedigre,115
elus,115
cedari,115
grand,115
utter,115
rocki,115
sicili,114
foxi,114
unbalanc,114
lemon_blossom,114
spätlese,114
10_merlot,114
espresso_bean,114
complic,114
lime_peel,113
barbaresco,113
lanolin,113
gingerbread,113
crush_rock,113
predomin,113
noir,113
south,113
explor,113
wind,113
shock,113
primitivo,113
burgundian,113
weak,112
nectarin_zest,112
prune_raisin,112
averag,112
along_way,112
readytodrink,112
sustain,112
greater,112
parcel,112
calm,112
posit,112
appl_cider,111
older,111
fair_price,111
almond_past,111
requir,111
peach_blossom,111
american,111
immedi_appeal,111
pith,111
showi,111
hang,111
feminin,111
di,110
interpret,110
powder_sage,110
succeed,110
33,110
oregon_pinot,109
five,109
mandarin_orang,109
jag,109
spine,109
foresti,109
deepli_concentr,109
bulki,109
brine,109
bad,109
impecc,109
clumsi,109
barrel_influenc,109
allow_age,109
lodi,109
pervad,109
willamett_valley,109
ampl_weight,108
thus,108
previous_vintag,108
said,108
22,108
list,108
increas,108
electr,108
anjou_pear,108
portug,108
infus,108
easi_find,108
clay,108
lime_pith,108
glide,108
dot,107
type,107
vineyard_plant,107
brandi,107
drink_2018–2028,107
welldefin,107
2004,107
counterpoint,107
bacon_fat,107
montepulciano,107
inde,107
rum_cake,106
deep_color,106
chianti_classico,106
bark,106
transit,106
grape_sourc,106
oil,106
mixtur,106
sooth,106
17,106
prime,106
nervous,106
meld_togeth,106
grill_sage,106
powder,106
hold_back,106
locat,106
small_percentag,106
salmon,106
lemon_juic,106
fragrant_blue,105
green_banana,105
liveli,105
grapefruit_pith,105
premier_cru,105
smallproduct,105
hide,105
convinc,105
sonoma_coast,104
moder_tannic,104
describ,104
grape_grown,104
alongsid_polish,104
effortless,104
crisper,104
beguil,104
undeni,104
phenol,104
tight_knit,104
05,104
money,104
longterm_age,104
northern,104
chilean,104
grill_steak,104
breath_time,104
good_everyday,104
rise_glass,104
night,103
buttercream,103
tuscani,103
compet,103
unlik,103
signal,103
crush_violet,103
5050_blend,103
slick,103
drink_now–2017,103
dollop,103
cold,103
freshen,102
flourish,102
acacia_flower,102
boister,102
blow,102
leav_astring,102
rendit,102
blush,102
evolut,102
fleet_tannin,102
cassi_liqueur,102
drink_2018–2025,102
meant,102
2021,102
bread_crust,102
malvasia,101
ultrarip,101
admir,101
later,101
former,101
lost,101
jolt,101
pleasant_bitter,101
reedi,101
06,101
shimmer,101
undercurr,101
feed,101
3–4_year,101
orang_marmalad,101
tropicalfruit,101
break,101
take_shape,100
generat,100
effervesc,100
provenc,100
express_varieti,100
step,100
theme,100
right_away,100
blend_touriga,100
bargain,100
tantal,100
veri_drinkabl,100
border,100
zealand,99
whitefruit_aroma,99
suprem,99
emphasi,99
cotton_candi,99
need_soften,99
demonstr,99
latex,99
fullflavor,99
tomato_vine,99
cap,99
neutral_french,99
greet_nose,99
wide_avail,98
oakag,98
piquant,98
either,98
dinner,98
northern_itali,98
ausles,98
2023,98
made_drunk,98
mild_bitter,98
dolcetto,98
alentejo,98
spunki,98
toast_coconut,98
team,98
last_long,98
glimps,98
princip,98
tuscan,98
readi_enjoy,97
six_month,97
sexi,97
first_sip,97
categori,97
clampi,97
blend_85,97
recent,97
modern_style,97
specif,97
alcohol_level,97
wall,97
75,97
aciddriven,97
whi,97
syrah_mourvèdr,97
neither,97
confectionari_note,97
slope,97
get_better,97
press_rose,97
right_front,97
—sh,97
vineyard_design,96
powderi,96
juxtapos,96
unabash,96
tend,96
uplift,96
cucumb,96
